action_in_proj.bias	shape=(1024,)	dtype=torch.bfloat16	numel=1024
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.1.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.1.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.10.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.11.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.12.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.13.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.14.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.15.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.16.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.17.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.18.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.19.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.layer_norm1.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.layer_norm1.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.layer_norm2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.layer_norm2.weight	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.mlp.fc1.bias	shape=(4304,)	dtype=torch.bfloat16	numel=4304
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.mlp.fc1.weight	shape=(4304, 1152)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.mlp.fc2.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.mlp.fc2.weight	shape=(1152, 4304)	dtype=torch.bfloat16	numel=4958208
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.k_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.k_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.out_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.out_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.q_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.q_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.v_proj.bias	shape=(1152,)	dtype=torch.bfloat16	numel=1152
paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.2.self_attn.v_proj.weight	shape=(1152, 1152)	dtype=torch.bfloat16	numel=1327104
